Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S76807082,Bufflehead,Bucephala albeola,641,3,CA-QC,Papineau,L6551185,"Marina, Lac Simon",45.9072857,-75.0923896,2020-11-28,01:21 PM,eBird - Traveling Count,20,1,1.04,,2,,Female or first winter plumage
S76867418,Bufflehead,Bucephala albeola,641,8,CA-QC,Papineau,L2200806,PN de Plaisance--Presqu'îles (Grande & Petite),45.5967913,-75.0927215,2020-11-29,12:54 PM,eBird - Traveling Count,122,1,4.66,,2
S83824699,Bufflehead,Bucephala albeola,641,5,CA-QC,Roussillon,L465864,RF Marguerite-D'Youville,45.3914585,-73.7611771,2021-03-21,11:31 AM,eBird - Traveling Count,172,1,7.45,,2
S87669468,Bufflehead,Bucephala albeola,641,2,CA-QC,Roussillon,L465864,RF Marguerite-D'Youville,45.3914585,-73.7611771,2021-05-09,09:15 AM,eBird - Traveling Count,352,1,8.36,,4
S76807082,Common Goldeneye,Bucephala clangula,642,4,CA-QC,Papineau,L6551185,"Marina, Lac Simon",45.9072857,-75.0923896,2020-11-28,01:21 PM,eBird - Traveling Count,20,1,1.04,,2
S76867418,Common Goldeneye,Bucephala clangula,642,8,CA-QC,Papineau,L2200806,PN de Plaisance--Presqu'îles (Grande & Petite),45.5967913,-75.0927215,2020-11-29,12:54 PM,eBird - Traveling Count,122,1,4.66,,2
S88913782,Hooded Merganser,Lophodytes cucullatus,651,2,CA-QC,Montréal,L166210,PN du Bois-de-l'île-Bizard,45.5100537,-73.8786578,2021-05-24,09:29 AM,eBird - Traveling Count,347,1,9.75,,4
S76084500,Hooded Merganser,Lophodytes cucullatus,651,10,CA-QC,Montréal,L351551,Parc des Rapides,45.4277985,-73.5921872,2020-11-10,10:45 AM,eBird - Traveling Count,126,1,2.78,,4
S76807028,Hooded Merganser,Lophodytes cucullatus,651,5,CA-QC,Papineau,L12826063,Lac Simon - Baie Blais,45.9033998,-75.0820108,2020-11-28,01:46 PM,eBird - Stationary Count,10,1,,,2
S84884415,Hooded Merganser,Lophodytes cucullatus,651,1,CA-QC,Papineau,L6066332,PN de Plaisance--Marais aux rubaniers,45.5951224,-75.0866175,2021-04-04,01:01 PM,eBird - Traveling Count,155,1,6.97,,2
S76514872,Hooded Merganser,Lophodytes cucullatus,651,25,CA-QC,Roussillon,L1138695,RécréoParc (Côte-Ste-Catherine),45.4088164,-73.5745737,2020-11-21,03:35 PM,eBird - Traveling Count,40,1,2.65,,2
S74265210,Common Merganser,Mergus merganser,658,1,CA-QC,Le Fjord-du-Saguenay,L12400645,"Rivière-Éternité, Québec, CA (48.259, -70.198)",48.2588651,-70.1979992,2020-09-25,03:30 PM,eBird - Casual Observation,,0,,,2
S74982148,Common Merganser,Mergus merganser,658,2,CA-QC,Longueuil,L1658613,PN des Îles-de-Boucherville (incluant Île Charron),45.594218,-73.4755858,2020-10-17,09:49 AM,eBird - Traveling Count,340,1,13.76,,2
S85346321,Common Merganser,Mergus merganser,658,6,CA-QC,Montréal,L3036593,Canal de Ste-Anne-de-Bellevue,45.4044792,-73.9559848,2021-04-10,04:28 PM,eBird - Traveling Count,32,1,1.69,,2
S85257624,Common Merganser,Mergus merganser,658,1,CA-QC,Montréal,L476082,PN du Cap-St-Jacques,45.4645346,-73.9315517,2021-04-10,01:44 PM,eBird - Traveling Count,139,1,4.65,,2,,Male
S76807028,Common Merganser,Mergus merganser,658,1,CA-QC,Papineau,L12826063,Lac Simon - Baie Blais,45.9033998,-75.0820108,2020-11-28,01:46 PM,eBird - Stationary Count,10,1,,,2
S76867418,Common Merganser,Mergus merganser,658,7,CA-QC,Papineau,L2200806,PN de Plaisance--Presqu'îles (Grande & Petite),45.5967913,-75.0927215,2020-11-29,12:54 PM,eBird - Traveling Count,122,1,4.66,,2,F Flyover
S83824699,Common Merganser,Mergus merganser,658,2,CA-QC,Roussillon,L465864,RF Marguerite-D'Youville,45.3914585,-73.7611771,2021-03-21,11:31 AM,eBird - Traveling Count,172,1,7.45,,2
S76514872,Common Merganser,Mergus merganser,658,4,CA-QC,Roussillon,L1138695,RécréoParc (Côte-Ste-Catherine),45.4088164,-73.5745737,2020-11-21,03:35 PM,eBird - Traveling Count,40,1,2.65,,2
S74265151,Ruffed Grouse,Bonasa umbellus,1590,3,CA-QC,La Haute-Côte-Nord,L778567,PN du Fjord-du-Saguenay--embouchure Rivière Ste-Marguerite,48.2634811,-69.9446309,2020-09-21,02:00 PM,eBird - Casual Observation,,0,,,2
S82590428,Wild Turkey,Meleagris gallopavo,1706,1,CA-QC,Mirabel,L1051605,"Rgs Ste-Marie & Ste-Dominique, Mirabel",45.718765,-73.9975548,2021-03-01,03:17 PM,eBird - Traveling Count,36,1,8.83,,2
S78399851,Wild Turkey,Meleagris gallopavo,1706,5,CA-QC,Montréal,L11363345,Parc écologique des Sources,45.474413,-73.763488,2021-01-01,10:45 AM,eBird - Traveling Count,138,1,4.39,,4
S79019935,Wild Turkey,Meleagris gallopavo,1706,13,CA-QC,Montréal,L11363345,Parc écologique des Sources,45.474413,-73.763488,2021-01-10,12:20 PM,eBird - Traveling Count,85,1,3.53,,2
S89669697,Wild Turkey,Meleagris gallopavo,1706,8,CA-QC,Montréal,L11363345,Parc écologique des Sources,45.474413,-73.763488,2021-06-05,12:49 PM,eBird - Traveling Count,128,1,4.04,,2,,7 young
S74982148,Pied-billed Grebe,Podilymbus podiceps,1756,1,CA-QC,Longueuil,L1658613,PN des Îles-de-Boucherville (incluant Île Charron),45.594218,-73.4755858,2020-10-17,09:49 AM,eBird - Traveling Count,340,1,13.76,,2
S85544852,Pied-billed Grebe,Podilymbus podiceps,1756,1,CA-QC,Montréal,L11363345,Parc écologique des Sources,45.474413,-73.763488,2021-04-14,01:45 PM,eBird - Traveling Count,124,1,3.,,2
S88276720,Pied-billed Grebe,Podilymbus podiceps,1756,1,CA-QC,Montréal,L11363345,Parc écologique des Sources,45.474413,-73.763488,2021-05-15,10:02 AM,eBird - Traveling Count,193,0,5.39,,2
S89669697,Pied-billed Grebe,Podilymbus podiceps,1756,2,CA-QC,Montréal,L11363345,Parc écologique des Sources,45.474413,-73.763488,2021-06-05,12:49 PM,eBird - Traveling Count,128,1,4.04,,2,,1 young
S86965556,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1813,4,CA-QC,Le Haut-Saint-Laurent,L293311,RNF du Lac-St-François,45.0428165,-74.4659194,2021-05-02,11:39 AM,eBird - Traveling Count,161,1,7.75,,2
S85544852,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1813,X,CA-QC,Montréal,L11363345,Parc écologique des Sources,45.474413,-73.763488,2021-04-14,01:45 PM,eBird - Traveling Count,124,1,3.,,2
S75344278,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1813,6,CA-QC,Roussillon,L465864,RF Marguerite-D'Youville,45.3914585,-73.7611771,2020-10-24,10:49 AM,eBird - Traveling Count,255,1,8.81,,2
S87669468,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1813,1,CA-QC,Roussillon,L465864,RF Marguerite-D'Youville,45.3914585,-73.7611771,2021-05-09,09:15 AM,eBird - Traveling Count,352,1,8.36,,4
S76007767,Mourning Dove,Zenaida macroura,2339,2,CA-QC,Montréal,L247704,Arboretum Morgan,45.428871,-73.9520833,2020-11-08,01:30 PM,eBird - Traveling Count,92,1,2.86,,2
S88913782,Mourning Dove,Zenaida macroura,2339,1,CA-QC,Montréal,L166210,PN du Bois-de-l'île-Bizard,45.5100537,-73.8786578,2021-05-24,09:29 AM,eBird - Traveling Count,347,1,9.75,,4
S78399851,Mourning Dove,Zenaida macroura,2339,15,CA-QC,Montréal,L11363345,Parc écologique des Sources,45.474413,-73.763488,2021-01-01,10:45 AM,eBird - Traveling Count,138,1,4.39,,4
S79019935,Mourning Dove,Zenaida macroura,2339,4,CA-QC,Montréal,L11363345,Parc écologique des Sources,45.474413,-73.763488,2021-01-10,12:20 PM,eBird - Traveling Count,85,1,3.53,,2
S84690642,Mourning Dove,Zenaida macroura,2339,2,CA-QC,Montréal,L11363345,Parc écologique des Sources,45.474413,-73.763488,2021-04-03,12:28 PM,eBird - Traveling Count,131,1,5.33,,2
S87669468,Mourning Dove,Zenaida macroura,2339,1,CA-QC,Roussillon,L465864,RF Marguerite-D'Youville,45.3914585,-73.7611771,2021-05-09,09:15 AM,eBird - Traveling Count,352,1,8.36,,4
S88580806,Chimney Swift,Chaetura pelagica,3755,1,CA-QC,Montréal,L469060,Parc Summit,45.4917128,-73.6071465,2021-05-20,06:31 AM,eBird - Traveling Count,86,0,2.47,,1
S89222559,Ruby-throated Hummingbird,Archilochus colubris,4652,1,CA-QC,Montréal,L806691,Cimetières Mt-Royal & Notre-Dame-des-Neiges,45.5049279,-73.6039953,2021-05-29,01:53 PM,eBird - Traveling Count,154,1,6.34,,2
S89669697,Common Gallinule,Gallinula galeata,5280,2,CA-QC,Montréal,L11363345,Parc écologique des Sources,45.474413,-73.763488,2021-06-05,12:49 PM,eBird - Traveling Count,128,1,4.04,,2
S87669468,Common Gallinule,Gallinula galeata,5280,1,CA-QC,Roussillon,L465864,RF Marguerite-D'Youville,45.3914585,-73.7611771,2021-05-09,09:15 AM,eBird - Traveling Count,352,1,8.36,,4
S85346673,Killdeer,Charadrius vociferus,5742,5,CA-QC,Montréal,L11363345,Parc écologique des Sources,45.474413,-73.763488,2021-04-11,03:10 PM,eBird - Traveling Count,104,1,3.,,4,,,,325621871
S85544852,Killdeer,Charadrius vociferus,5742,2,CA-QC,Montréal,L11363345,Parc écologique des Sources,45.474413,-73.763488,2021-04-14,01:45 PM,eBird - Traveling Count,124,1,3.,,2
S89669697,Killdeer,Charadrius vociferus,5742,2,CA-QC,Montréal,L11363345,Parc écologique des Sources,45.474413,-73.763488,2021-06-05,12:49 PM,eBird - Traveling Count,128,1,4.04,,2
S74264711,Spotted Sandpiper,Actitis macularius,5970,1,CA-QC,La Haute-Côte-Nord,L2346119,Pointe de la Croix,48.3504256,-69.3967052,2020-09-23,12:15 PM,eBird - Stationary Count,40,1,,,1
S75565742,Razorbill,Alca torda,6144,X,CA-QC,Minganie,L2995251,PN Archipel-de-Mingan--Île aux Perroquets,50.2206197,-64.2061186,2019-08-04,,Historical,,0,,,3
S75565742,Atlantic Puffin,Fratercula arctica,6188,X,CA-QC,Minganie,L2995251,PN Archipel-de-Mingan--Île aux Perroquets,50.2206197,-64.2061186,2019-08-04,,Historical,,0,,,3
